syw,zip
7081054981662954,62960 
7081207026690493,62959 
7081317339428596,62948 
7081012483201671,62948 
7081077575040832,62910 
7081153446381588,62910 
7081207052298187,62901 
7081187549110916,62901 
7081087531123077,62901 
7081256949409143,62896 
7081145529191520,62896 
7081167563997091,62864 
7081103583753016,62864 
7081327090738026,62863 
7081074728558935,62863 
7081127550185894,62863 
7081314163210554,62837 
7081083388174982,62821 
7081051857713457,62816 
7081094930369103,62812 
7081167523564304,62712 
7081256393068171,62711 
7081245564822599,62704 
7081312649176928,62704 
7081271644139135,62704 
7081032545451916,62704 
7081085817428756,62704 
7081215208319252,62704 
7081053471771804,62704 
7081256276534166,62703 
7081123576622317,62703 
7081225845754019,62702 
7081044237185678,62702 
7081155689574894,62702 
7081317397230892,62702 
7081313812546772,62675 
7081157565760829,62649 
7081022563619635,62570 
7081066615512488,62568 
7081011485028470,62526 
7081251333773055,62526 
7081057530741377,62522 
7081022485206230,62467 
7081177568502481,62450 
7081197500555413,62450 
7081187610676670,62450 
7081197504091910,62450 
7081177630862335,62450 
7081197501163571,62450 
7081137534475741,62450 
7081204974742269,62450 
7081014242442919,62439 
7081135330734386,62401 
7081181455613476,62338 
7081327515202756,62301 
7081227454622685,62301 
7081077622731672,62301 
7081123682254138,62301 
7081261518228254,62301 
7081187604786089,62298 
7081090578943126,62294 
7081057543152901,62293 
7081185271111045,62278 
7081033281082253,62274 
7081054009686761,62269 
7081077547495569,62269 
7081016471103039,62269 
7081297046994850,62258 
7081094436264915,62249 
7081177629373971,62249 
7081027552916496,62249 
7081047566432330,62246 
7081070233728377,62236 
7081090578319491,62234 
7081103680084083,62234 
7081315148774044,62234 
7081044083551734,62234 
7081147622953590,62234 
7081263833001788,62234 
7081077601929669,62234 
7081197519718473,62234 
7081024417062491,62234 
7081090580329199,62234 
7081120328509891,62234 
7081224698437715,62232 
7081224290300162,62232 
7081027495273153,62232 
7081037587451948,62232 
7081062572077201,62232 
7081067557924202,62231 
7081255322435808,62226 
7081097251540897,62226 
7081100412819158,62226 
7081067589669189,62226 
7081243441534586,62226 
7081187605775909,62224 
7081107557587342,62223 
7081187595612815,62223 
7081107554055020,62223 
7081097511702360,62222 
7081167575541150,62222 
7081226987591946,62221 
7081120282099343,62221 
7081177575625036,62221 
7081087608699389,62221 
7081141136973780,62221 
7081170199112085,62220 
7081254824272397,62207 
7081224366085275,62205 
7081100298328779,62205 
7081235024238296,62205 
7081325625759418,62201 
7081117559623524,62095 
7081062263470822,62060 
7081136737772896,62052 
7081027539249763,62052 
7081234387012117,62040 
7081090578953331,62040 
7081135842102668,62040 
7081257056244869,62040 
7081121173052623,62040 
7081057513354990,62035 
7081305171706344,62035 
7081037624171459,62034 
7081024417679591,62025 
7081167545005526,62025 
7081101325974213,62025 
7081254317262343,62025 
7081017541092392,62025 
7081027554805960,62025 
7081117590896303,62025 
7081137561470573,62012 
7081033630220794,62002 
7081100549470404,62002 
7081177557201897,62002 
7081037609716591,61944 
7081127564111928,61944 
7081236872110272,61944 
7081020461841855,61883 
7081014568704298,61883 
7081255517101033,61883 
7081287407754381,61880 
7081112264582263,61858 
7081117596095025,61857 
7081126510429939,61846 
7081167537226742,61844 
7081016446229661,61834 
7081153248452207,61834 
7081256929762883,61833 
7081235226643301,61832 
7081205607896414,61832 
7081302766877259,61832 
7081017538880742,61832 
7081126471384321,61832 
7081117607634168,61832 
7081317445045094,61832 
7081017500275145,61832 
7081024139843475,61832 
7081173028625020,61832 
7081322661790647,61832 
7081315339942913,61832 
7081015870946428,61822 
7081205604207904,61821 
7081106440951392,61820 
7081296193365468,61820 
7081087543422004,61820 
7081256876015103,61817 
7081030847200585,61817 
7081223427517003,61814 
7081077584839265,61801 
7081047561755669,61801 
7081047597483310,61764 
7081053709690719,61761 
7081063272701454,61748 
7081047620430684,61738 
7081157551254506,61738 
7081137534883712,61738 
7081127524912407,61704 
7081275236179490,61704 
7081100701351947,61704 
7081067533403933,61704 
7081107621294461,61704 
7081281103130244,61704 
7081222297154111,61704 
7081177590611789,61704 
7081042053798905,61701 
7081245149735308,61701 
7081087584302297,61701 
7081047629799584,61701 
7081145674511183,61701 
7081066307434967,61701 
7081067569846377,61701 
7081047591740582,61701 
7081147589031000,61701 
7081053659198283,61701 
7081234093474049,61701 
7081107622977460,61615 
7081087588244164,61615 
7081097558446616,61615 
7081087594584629,61615 
7081147620811816,61614 
7081087606503575,61614 
7081137578657766,61614 
7081107558602850,61614 
7081057572141916,61614 
7081157551561777,61614 
7081087601832466,61614 
7081057570809654,61614 
7081087606194219,61613 
7081187614150334,61611 
7081087603732474,61611 
7081087605675044,61611 
7081087569022068,61611 
7081187602448641,61611 
7081256881444439,61606 
7081156841990887,61603 
7081077576674894,61603 
7081022318879856,61554 
7081044453008901,61554 
7081070785352337,61554 
7081020405330510,61550 
7081153786702823,61550 
7081041917487440,61550 
7081120883006325,61550 
7081303837285373,61550 
7081167542545136,61550 
7081275574094855,61548 
7081063344145821,61546 
7081272397069529,61533 
7081157551398089,61530 
7081235252515043,61525 
7081014838616348,61525 
7081147623141138,61523 
7081010658549593,61520 
7081060853149582,61455 
7081145858896764,61455 
7081061519327653,61455 
7081155920839700,61455 
7081137573251375,61455 
7081137355426500,61455 
7081147586778009,61455 
7081180116673978,61455 
7081147623328776,61455 
7081147620902466,61455 
7081087565472713,61443 
7081077603304796,61443 
7081087567846005,61443 
7081087568104990,61443 
7081087569815586,61443 
7081087566757179,61443 
7081087564800955,61443 
7081087564487712,61443 
7081087565246489,61443 
7081087566749697,61443 
7081087568512853,61443 
7081087568286342,61443 
7081087566105577,61443 
7081087566878447,61443 
7081087566775981,61443 
7081087564573040,61443 
7081087566263392,61443 
7081087568470268,61443 
7081087568722239,61443 
7081087565412586,61443 
7081087565994880,61443 
7081087564848327,61443 
7081087562744338,61443 
7081087562007736,61443 
7081057578398221,61443 
7081087562022594,61443 
7081087570581961,61443 
7081087569453388,61443 
7081087566429720,61443 
7081087570987051,61443 
7081087569367091,61443 
7081087567675677,61443 
7081087568779973,61443 
7081087569223906,61443 
7081087568998789,61443 
7081087569251691,61443 
7081087568867174,61443 
7081087568648657,61443 
7081087567635473,61443 
7081087568193373,61443 
7081087569220878,61443 
7081087567636364,61443 
7081087572006363,61443 
7081087566789669,61443 
7081087568488484,61443 
7081087569206075,61443 
7081087567335777,61443 
7081087567253749,61443 
7081087567398239,61443 
7081087572479727,61443 
7081087568555084,61443 
7081087569121605,61443 
7081087568857472,61443 
7081087567957315,61443 
7081087567985159,61443 
7081087569818077,61443 
7081087567276435,61443 
7081087569422748,61443 
7081087570453211,61443 
7081087567839174,61443 
7081087569108867,61443 
7081087568868172,61443 
7081087571024581,61443 
7081087569423910,61443 
7081087570758619,61443 
7081087569118718,61443 
7081087567616929,61443 
7081087570047831,61443 
7081087569668118,61443 
7081087568824423,61443 
7081087570006753,61443 
7081087569065646,61443 
7081087568438463,61443 
7081087566339721,61443 
7081087569565959,61443 
7081087569960184,61443 
7081087569163839,61443 
7081087565959768,61443 
7081087567272251,61443 
7081087568891968,61443 
7081087570252399,61443 
7081087566760306,61443 
7081087568819696,61443 
7081087568220077,61443 
7081087568115202,61443 
7081087568294726,61443 
7081087568886257,61443 
7081087570607188,61443 
7081087568487833,61443 
7081087569178951,61443 
7081087565834334,61443 
7081087568069300,61443 
7081087568191104,61443 
7081087569114295,61443 
7081087568023075,61443 
7081087568466340,61443 
7081087567423896,61443 
7081087567435049,61443 
7081087568820892,61443 
7081087569405313,61443 
7081087569584224,61443 
7081087570392245,61443 
7081087569413879,61443 
7081087565885088,61443 
7081087571896863,61443 
7081087566875302,61443 
7081087569971041,61443 
7081087568813236,61443 
7081087569187481,61443 
7081087566682591,61443 
7081087568172666,61443 
7081087568210300,61443 
7081087570435242,61443 
7081087567490606,61443 
7081087567497783,61443 
7081087569462124,61443 
7081087570767487,61443 
7081087569999687,61443 
7081087570660708,61443 
7081087569640950,61443 
7081087568382943,61443 
7081087566068668,61443 
7081087567977297,61443 
7081087569462090,61443 
7081087570190599,61443 
7081087570399133,61443 
7081087569496601,61443 
7081087569822616,61443 
7081087569660883,61443 
7081087567464510,61443 
7081087570479604,61443 
7081087572908915,61443 
7081087570177000,61443 
7081087569770161,61443 
7081087568327013,61443 
7081087569744786,61443 
7081087571158868,61443 
7081087566673004,61443 
7081087567398569,61443 
7081087568090934,61443 
7081087569025855,61443 
7081087570930309,61443 
7081087570662118,61443 
7081087570907109,61443 
7081087570446959,61443 
7081087567631258,61443 
7081087569547023,61443 
7081087570160717,61443 
7081087567133073,61443 
7081087571753098,61443 
7081087570143200,61443 
7081087569500824,61443 
7081087569085685,61443 
7081087570111546,61443 
7081087569152170,61443 
7081087568548410,61443 
7081087569554953,61443 
7081087570384366,61443 
7081087568078079,61443 
7081087569111754,61443 
7081087569817913,61443 
7081087567335363,61443 
7081087570535934,61443 
7081087567891894,61443 
7081087571863459,61443 
7081087570738504,61443 
7081087571297054,61443 
7081087569710142,61443 
7081087569097565,61443 
7081087568514289,61443 
7081087572677510,61443 
7081087569723814,61443 
7081087573475609,61443 
7081087570642276,61443 
7081087566490540,61443 
7081087568822666,61443 
7081087572379562,61443 
7081087568816601,61443 
7081087570604128,61443 
7081087568926319,61443 
7081087569779360,61443 
7081087570914691,61443 
7081087570793061,61443 
7081087567013945,61443 
7081087568688760,61443 
7081087570490270,61443 
7081087569301983,61443 
7081087569562964,61443 
7081087568688448,61443 
7081087567689314,61443 
7081087570347876,61443 
7081087569030160,61443 
7081087567156686,61443 
7081087568384774,61443 
7081087569363090,61443 
7081087568748515,61443 
7081087568823177,61443 
7081087572389413,61443 
7081087567875418,61443 
7081087569411097,61443 
7081087568378206,61443 
7081087568505451,61443 
7081087568262236,61443 
7081087570436562,61443 
7081087568366409,61443 
7081087568868362,61443 
7081087566776468,61443 
7081087567501758,61443 
7081087568195238,61443 
7081087564341828,61443 
7081316637380376,61443 
7081087562649438,61443 
7081087564215246,61443 
7081087563487002,61443 
7081087565035478,61443 
7081087567620186,61421 
7081010616816894,61418 
7081022568407416,61411 
7081323697260209,61410 
7081032154425425,61401 
7081100641022624,61401 
7081270021143983,61401 
7081022710821241,61376 
7081245534892102,61376 
7081024084272852,61350 
7081087604272694,61344 
7081227268528235,61329 
7081020718086247,61329 
7081315981968455,61329 
7081037616092986,61326 
7081107630035806,61301 
7081017506885137,61301 
7081271785324066,61282 
7081103682858914,61282 
7081103683596570,61265 
7081022749519295,61265 
7081092699928705,61250 
7081073743594636,61244 
7081031317407668,61244 
7081017501242953,61244 
7081136870931101,61244 
7081127503439182,61244 
7081143247196640,61244 
7081177629494876,61244 
7081067546114964,61244 
7081117604330695,61244 
7081077560829140,61244 
7081147583775800,61244 
7081104352388166,61241 
7081031300785724,61241 
7081321503593854,61241 
